Event Type,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
Sabotaje,Norte de Santander,,,Infraestructura Energética (Oleoductos),Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,8.6999099,-73.46146,"Nte. de Santander, El Carmen, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,,Miramontes,Infraestructura Energética,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 56",8.6999099,-73.46146,"Nte. de Santander, El Carmen, Norte de Santander, Colombia"
Quema de Vehículos,Chocó,,Zona rural,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 56",5.2528033,-76.8259652,"Choco, Colombia"
Sabotaje,Arauca,,Zona rural,Infraestructura Energética,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #2. Pp. 92",7.076172,-70.710457,"Arauca, Arauca, Arauca, Colombia"
Quema de Vehículos,Santander,,El carpintero,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #3. Pp. 47",6.6437076,-73.6536209,"Santander Department, Colombia"
Quema de Vehículos,La Guajira,,,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 36 Pp. 109,11.3547743,-72.5204827,"La Guajira, Colombia"
Ataque a Propiedad,Caldas,,,Propiedad Rural,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 37 Pp. 83,5.29826,-75.2479061,"Caldas, Colombia"
Quema de Vehículos,Santander,Lebrija,Vía a Bucaramanga,Medios de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,,,"Justicia y Paz. Boletín informativo Julio-Septiembre 1989. Volumen 2, N°.3. Pp. 41",7.111342,-73.216672,"Lebrija, Lebrija, Santander, Colombia"
Sabotaje,Antioquia,Abejorral,Corregimiento Pantanillo,Material Electoral,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 7 y 8. Pp. 63,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
Asesinato Selectivo,Antioquia,Abejorral,Vereda Alto Bonito,Vivienda,Grupo Armado No Identificado,Grupo Armado No Identificado, ,,"Noche y Niebla # 11, Pp. 63",5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
Asesinato Selectivo,Antioquia,Abejorral,Vereda La Cascada,Vivienda,Guerrilla,Guerrilla-FARC, ,,Noche y Niebla # 16 Pp. 145,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
Sabotaje,Antioquia,Abejorral,Vereda Samaria,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN, ,,Revista Noche y Niebla # 17 Agosto Pp. 136,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
Sabotaje,Antioquia,Abejorral,Vereda La Labor,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 18 Diciembre Pp. 197,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
Sabotaje,Antioquia,Abejorral,Zona Rural,Infraestructura Eléctrica,Guerrilla,Guerrilla No Identificada,,, Noche y Niebla # 27 Pp. 53,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
Asesinato Selectivo,Antioquia,Abejorral,Vereda Cauzales,Vivienda Urbana,Grupos Paramilitares,Grupos Paramilitares,,,Noche y Niebla # 30 Pp. 115 y 116,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
Asesinato Selectivo,Norte de Santander,Abrego,Inspección de Guamal ,Vivienda,Guerrilla,Guerrilla-ELN,,,"Justicia y Paz Vol. 2 Nº 2, pág. 75",8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,Abrego,,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Acciones Bélicas,Norte de Santander,Abrego,Cabecera Municipal,Lugares de Culto/Vivienda,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 5. Pp. 149,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,Abrego,IP El Tarra,Material Electoral,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 7 y 8. Pp. 66,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,Abrego,IP El Tabaco,Material Electoral,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 7 y 8. Pp. 66,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,Abrego,Cabecera Municipal,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 15 Febrero Pp. 41,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,Abrego,IP La Sierra,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN, ,,Revista Noche y Niebla # 17 Agosto Pp. 142,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,Abrego,Cabecera Municipal,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN, ,,Revista Noche y Niebla # 17 Agosto Pp. 150,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,Abrego,Vías Las Minas - Vereda Pavez,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 19 Pp. 96,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,Abrego,Vereda Pavez,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 22 Pp. 70,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,Abrego,Sitio Alto de Pozo,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 22 Pp. 71,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,Abrego,Vereda Brisas del Tarra,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 23 Pp. 52,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Sabotaje,Norte de Santander,Abrego,Sitio Alto del Pozo,Infraestructura Eléctrica,Guerrilla,Guerrilla-Sin Identificar,,, Noche y Niebla # 22 Pp. 35,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Asesinato Selectivo,Antioquia,Abriaqui,Sitio la Batea,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Banco de Datos de Derechos Humanos y Violencia Política del CINEP,6.634555,-76.06574,"Abriaquí, Abriaquí, Antioquia, Colombia"
Quema de Vehículos,Meta,Acacías,Cruce de San Carlos,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 36",3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
Sabotaje,Meta,Acacías,Vía a Villavicencio,Infraestructura Víal,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 4, #2. PP. 105",3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
Sabotaje,Meta,Acacías,Zona Rural,Infraestructura Víal,Guerrilla,Guerrilla-CGSB,,,Justicia y Paz Vol 5 #3,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
Quema de Vehículos,Meta,Acacías,IP Dinamarca,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 6. Pp. 134,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
Sabotaje,Meta,Acacías,Vía a Villavicencio,Medios de Transporte - Infraestructura Víal,Guerrilla,Guerrilla-FARC,,,Noche y Niebla #13. Pp. 85,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
Ataque a Instituciones,Meta,Acacías,Cabecera Municipal,Entidades Públicas,Guerrilla,Guerrilla-FARC, ,,Revista Noche y Niebla # 18 Noviembre Pp. 153,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
Sabotaje,Meta,Acacías,Sitio La Cuncia,Infraestructura Eléctrica,Guerrilla,Guerrilla-Sin Identificar,,, Noche y Niebla # 22 Pp. 66,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
Sabotaje-Quema de Vehículos,Meta,Acacías,Peaje Sardinata,Infraestructura Víal - Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 22 Pp. 85,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
Quema de Vehículos,Meta,Acacías,,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 23 Pp. 29,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
Ataque a Propiedad,Chocó,Acandí,Ensenada Trigana,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 81",8.510109,-77.27898,"Acandí, Acandí, Chocó, Colombia"
Quema de Vehículos,Chocó,Acandí,,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 83",8.510109,-77.27898,"Acandí, Acandí, Chocó, Colombia"
Acciones Bélicas,Chocó,Acandí,Cabecera Municipal,Vivienda,Guerrilla,Guerrilla-FARC,,,,8.510109,-77.27898,"Acandí, Acandí, Chocó, Colombia"
Ataque a Instituciones,Huila,Acevedo,,Entidades Públicas,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 1. Pp. 78,1.805165,-75.88834,"Acevedo, Acevedo, Huila, Colombia"
Quema de Vehículos,Huila,Acevedo,,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla #10. Pp. 62,1.805165,-75.88834,"Acevedo, Acevedo, Huila, Colombia"
Acciones Bélicas-Ataque a Instituciones,Huila,Acevedo,IP San Adolfo,Entidades Públicas/Vivienda,Guerrilla,Guerrilla-FARC,,,,1.805165,-75.88834,"Acevedo, Acevedo, Huila, Colombia"
Ataque a Propiedad,Huila,Acevedo,Vereda La Barniza,Infraestructura Empresarial,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 26 Pp. 42,1.805165,-75.88834,"Acevedo, Acevedo, Huila, Colombia"
Sabotaje,Bolívar,Achí,ID San Jacinto de Achí ,Material Electoral,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #1,8.567685,-74.5559339,"Achí, Archí, Bolivar, Colombia"
Ataque a Propiedad,Bolívar,Achí,Zona Rural,Propiedad Rural,Guerrilla,Guerrilla-EPL,,,Justicia y Paz Vol 7 #2,8.567685,-74.5559339,"Achí, Archí, Bolivar, Colombia"
Sabotaje,Bolívar,Achí,Corregimiento Villa Uribe,Material Electoral,Guerrilla,Guerrilla No Identificada,,,Justicia y Paz Vol 7 #2,8.567685,-74.5559339,"Achí, Archí, Bolivar, Colombia"
Sabotaje,Bolívar,Achí,,Infraestructura de Comunicaciones,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 7 y 8. Pp. 62,8.567685,-74.5559339,"Achí, Archí, Bolivar, Colombia"
Asesinato Selectivo-Quema de Vehículos,Bolívar,Achí,Corregimiento Tres Cruces,Medio de Transporte,Guerrilla,Guerrilla-ERP, ,,Noche y Niebla # 15 Pp. 183,8.567685,-74.5559339,"Achí, Archí, Bolivar, Colombia"
Quema de Vehículos,Bolívar,Achí,Corregimiento Tres Cruces,Medios de Transporte,Guerrilla,Guerrilla-ERP,,,Revista Noche y Niebla # 15 Marzo Pp. 183,8.567685,-74.5559339,"Achí, Archí, Bolivar, Colombia"
Sabotaje,Cesar,Aguachica,Corregimiento Norean,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,"Justicia y Paz. Boletín informativo Abril-Junio 1989. Volumen 2, N°.2. Pp. 101",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,Vía a Santa Marta,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,"Justicia y Paz. Boletín informativo Julio-Septiembre 1989. Volumen 2, N°.3. Pp. 70",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Quema de Vehículos,Cesar,Aguachica,Vía a Bucaramanga-sitio El Barro,Medios de Transporte,Guerrilla,Guerrilla-CGSB,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 122",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
