Event Date,Event Type,Day,Month,Year,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
1992-12-03,Sabotaje,3,12,1992,Norte de Santander,,,Infraestructura Energética (Oleoductos),Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,8.6999099,-73.46146,"Nte. de Santander, El Carmen, Norte de Santander, Colombia"
1995-04-16,Sabotaje,16,4,1995,Norte de Santander,,Miramontes,Infraestructura Energética,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 56",8.6999099,-73.46146,"Nte. de Santander, El Carmen, Norte de Santander, Colombia"
1995-04-20,Quema de Vehículos,20,4,1995,Chocó,,Zona rural,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 56",5.2528033,-76.8259652,"Choco, Colombia"
1995-05-19,Sabotaje,19,5,1995,Arauca,,Zona rural,Infraestructura Energética,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #2. Pp. 92",7.076172,-70.710457,"Arauca, Arauca, Arauca, Colombia"
1995-07-18,Quema de Vehículos,18,7,1995,Santander,,El carpintero,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #3. Pp. 47",6.6437076,-73.6536209,"Santander Department, Colombia"
2007-09-29,Quema de Vehículos,29,9,2007,La Guajira,,,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 36 Pp. 109,11.3547743,-72.5204827,"La Guajira, Colombia"
2008-02-06,Ataque a Propiedad,6,2,2008,Caldas,,,Propiedad Rural,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 37 Pp. 83,5.29826,-75.2479061,"Caldas, Colombia"
1989-07-14,Quema de Vehículos,14,7,1989,Santander,Lebrija,Vía a Bucaramanga,Medios de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,,,"Justicia y Paz. Boletín informativo Julio-Septiembre 1989. Volumen 2, N°.3. Pp. 41",7.111342,-73.216672,"Lebrija, Lebrija, Santander, Colombia"
1998-03-08,Sabotaje,8,3,1998,Antioquia,Abejorral,Corregimiento Pantanillo,Material Electoral,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 7 y 8. Pp. 63,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
1999-02-05,Asesinato Selectivo,5,2,1999,Antioquia,Abejorral,Vereda Alto Bonito,Vivienda,Grupo Armado No Identificado,Grupo Armado No Identificado, ,,"Noche y Niebla # 11, Pp. 63",5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
2000-05-29,Asesinato Selectivo,29,5,2000,Antioquia,Abejorral,Vereda La Cascada,Vivienda,Guerrilla,Guerrilla-FARC, ,,Noche y Niebla # 16 Pp. 145,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
2000-08-12,Sabotaje,12,8,2000,Antioquia,Abejorral,Vereda Samaria,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN, ,,Revista Noche y Niebla # 17 Agosto Pp. 136,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
2000-12-16,Sabotaje,16,12,2000,Antioquia,Abejorral,Vereda La Labor,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 18 Diciembre Pp. 197,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
2003-01-22,Sabotaje,22,1,2003,Antioquia,Abejorral,Zona Rural,Infraestructura Eléctrica,Guerrilla,Guerrilla No Identificada,,, Noche y Niebla # 27 Pp. 53,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
2004-08-17,Asesinato Selectivo,17,8,2004,Antioquia,Abejorral,Vereda Cauzales,Vivienda Urbana,Grupos Paramilitares,Grupos Paramilitares,,,Noche y Niebla # 30 Pp. 115 y 116,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
1989-06-22,Asesinato Selectivo,22,6,1989,Norte de Santander,Abrego,Inspección de Guamal ,Vivienda,Guerrilla,Guerrilla-ELN,,,"Justicia y Paz Vol. 2 Nº 2, pág. 75",8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
1992-10-11,Sabotaje,11,10,1992,Norte de Santander,Abrego,,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
1997-07-21,Acciones Bélicas,21,7,1997,Norte de Santander,Abrego,Cabecera Municipal,Lugares de Culto/Vivienda,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 5. Pp. 149,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
1998-03-08,Sabotaje,8,3,1998,Norte de Santander,Abrego,IP El Tarra,Material Electoral,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 7 y 8. Pp. 66,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
1998-03-08,Sabotaje,8,3,1998,Norte de Santander,Abrego,IP El Tabaco,Material Electoral,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 7 y 8. Pp. 66,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
2000-02-22,Sabotaje,22,2,2000,Norte de Santander,Abrego,Cabecera Municipal,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 15 Febrero Pp. 41,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
2000-08-14,Sabotaje,14,8,2000,Norte de Santander,Abrego,IP La Sierra,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN, ,,Revista Noche y Niebla # 17 Agosto Pp. 142,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
2000-08-17,Sabotaje,17,8,2000,Norte de Santander,Abrego,Cabecera Municipal,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN, ,,Revista Noche y Niebla # 17 Agosto Pp. 150,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
2001-02-06,Sabotaje,6,2,2001,Norte de Santander,Abrego,Vías Las Minas - Vereda Pavez,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 19 Pp. 96,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
2001-11-24,Sabotaje,24,11,2001,Norte de Santander,Abrego,Vereda Pavez,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 22 Pp. 70,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
2001-11-25,Sabotaje,25,11,2001,Norte de Santander,Abrego,Sitio Alto de Pozo,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 22 Pp. 71,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
2002-02-08,Sabotaje,8,2,2002,Norte de Santander,Abrego,Vereda Brisas del Tarra,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 23 Pp. 52,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
2010-10-25,Sabotaje,25,10,2010,Norte de Santander,Abrego,Sitio Alto del Pozo,Infraestructura Eléctrica,Guerrilla,Guerrilla-Sin Identificar,,, Noche y Niebla # 22 Pp. 35,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
2006-06-28,Asesinato Selectivo,28,6,2006,Antioquia,Abriaqui,Sitio la Batea,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Banco de Datos de Derechos Humanos y Violencia Política del CINEP,6.634555,-76.06574,"Abriaquí, Abriaquí, Antioquia, Colombia"
