Event Date,Number of Victims,State,City,Location,Authorship,Source,Lat,Lon,Address
1988-02-25,9,Cesar,, ,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 1 Pp. 33,9.3372948,-73.6536209,"Cesar, Colombia"
1999-11-17,6,Antioquia,Abejorral,Veredas Pantanillo y Chagualal,Grupo Armado No Identificado,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 51,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
2000-07-27,6,Antioquia,Abejorral,"Corregimiento Pantanillo, IP Chagualal y Vereda Las Tropas",Grupos Paramilitares,Noche y Niebla # 17 Pp. 96 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 308,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
2002-05-29,5,Antioquia,Abejorral,"Veredas La Loma, La Peña, La Cascada y Alto Bonito",Grupos Paramilitares,Noche y Niebla # 24 Pp. 87 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-1997,5.788693,-75.428603,"Abejorral, Abejorral, Antioquia, Colombia"
1989-08-01,7,Norte de Santander,Abrego,IPD Guamal,Guerrilla-EPL ,Boletín Justicia y Paz Vol. 2 No 3 Pp. 52 Enterrar y Callar Vol. 2 Pp. 172,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
1990-01-06,4,Santander,Abrego,,Guerrilla-ELN ,Boletín Justicia y Paz Vol 3 No 1 Enterrar y Callar Vol. 2 Pp. 172,8.0837905,-73.222916,"Abrego, North Santander, Colombia"
1990-07-17,4,Norte de Santander,Abrego,Corregimiento La Arenosa,Guerrilla-ELN ,Boletín Justicia y Paz Vol 3 No 3 Pp. 32,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
1993-01-14,4,Norte de Santander,Abrego,Vereda Bellavista-Sitio La Vega,Fuerza Pública-Ejército Nacional,Boletín Informativo Justicia y Paz Vol. 6 No 1 Pp. 30 Enterrar y Callar Vol. 2 Pp. 172 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
1999-02-18,6,Antioquia,Abriaqui,"Corregimiento La Antigua-Veredas Piedras, Nan Dui y Pantanillo",Grupos Paramilitares,Noche y Niebla # 11 Pp. 77 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 38,6.634555,-76.06574,"Abriaquí, Abriaquí, Antioquia, Colombia"
1990-07-25,4,Meta,Acacias,Vereda Las Palmas,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 3 Pp. 27 Enterrar y Callar. Vol. 2 Pp. 164,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
1995-11-04,6,Chocó,Acandi,IP Capitán y Vereda Acandi Seco,Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 4 Pp. 54-55 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,8.510109,-77.27898,"Acandí, Acandí, Chocó, Colombia"
1999-08-20,5,Huila,Acevedo,Corregimiento San Adolfo-Vereda San José de Riecito,Guerrilla-FARC ,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 108,1.805165,-75.88834,"Acevedo, Acevedo, Huila, Colombia"
1985-08-05,5,Cesar,Aguachica,,Grupos Paramilitares,"Enterrar y Callar Pp. 121 VANGUARDIA LIBERAL, 6 de agosto de 1985, p. 20",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
1989-11-12,4,Cesar,Aguachica,Corregimiento Norean,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 2 No 4 Pp. 48 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
1991-07-03,6,Cesar,Aguachica,,Guerrilla-ELN ,Boletín Justicia y Paz Vol. 4 No 3 Pp. 25,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
1993-03-28,4,Cesar,Aguachica,Corregimiento El Limoncito,Grupos Paramilitares,Boletín Informativo Justicia y Paz Vol. 6 No 1  Pp. 101 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Enterrar y Callar Vol. 2 PP. 121 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
1993-04-04,7,Cesar,Aguachica,Corregimiento El Limoncito,Guerrilla-ELN ,Enterrar y Callar Vol. 2 Pp. 121 CPDH,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
1993-04-29,4,Cesar,Aguachica,Corregimiento Puerto Mosquito,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 6 No 2 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar Pp. 81,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
1994-11-22,5,Cesar,Aguachica,Cabecera Municipal,Grupos Paramilitares,Boletin Justicia y Paz Vol 7 No 4 Pp. 66,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
1995-01-15,8,Cesar,Aguachica,Corregimiento Puerto Patiño,Grupos Paramilitares,"Boletín Justicia y Paz Vol 8 No 1 Pp. 35-36 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre Francisco Prada Márquez, alias ""Juancho Prada"". Barranquilla, 16 y 17 de Mayo de 2007 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
1995-02-17,4,Cesar,Aguachica,Vereda La Yegüerita,Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 1 Pp. 65-66 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
1996-11-01,4,Cesar,Aguachica,Corregimiento Norean,Grupos Paramilitares,Noche y Niebla # 2 Pp. 95 Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
