Tipo de evento,Departamento,Municipio,Corregimiento,Año,Mes,Evento,COD_DANE_MUNI,COD_DANE_DEPTO,Tipo de lugar,Tipo de area,Rotulo
Accidente por MAP,CAQUETA,MONTAÑITA,LA MONTAÑITA,2010,3,Accidente,18410,18,,Rural,1
Accidente por MAP,ANTIOQUIA,ITUANGO,ITUANGO,2010,3,Accidente,5361,5,Sendero,Rural,1
Accidente por MAP,VAUPES,CARURÚ,CARURÚ,2010,3,Accidente,97161,97,,Rural,1
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,3,Accidente,5790,5,,Rural,1
Accidente por MAP,GUAVIARE,SAN JOSÉ DEL GUAVIARE,SAN JOSÉ DEL GUAVIARE,2010,3,Accidente,95001,95,,Rural,1
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,3,Accidente,5790,5,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,EL TARRA,EL TARRA,2008,8,Accidente,54250,54,,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2010,3,Accidente,52678,52,,Rural,1
Accidente por MAP,ANTIOQUIA,ITUANGO,ITUANGO,2010,3,Accidente,5361,5,,Rural,1
Accidente por MAP,BOLIVAR,EL CARMEN DE BOLÍVAR,EL CARMEN DE BOLÍVAR,2010,1,Accidente,13244,13,,Rural,1
Accidente por MAP,CAUCA,SUÁREZ,SUÁREZ,2010,1,Accidente,19780,19,,Rural,1
Accidente por MAP,META,MAPIRIPÁN,MAPIRIPÁN,2010,1,Accidente,50325,50,,Rural,1
Accidente por MAP,HUILA,ALGECIRAS,ALGECIRAS,2010,1,Accidente,41020,41,,Rural,1
Accidente por MAP,ANTIOQUIA,ITUANGO,ITUANGO,2010,1,Accidente,5361,5,,Rural,1
Accidente por MAP,HUILA,BARAYA,BARAYA,2010,1,Accidente,41078,41,,Rural,1
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2010,1,Accidente,23807,23,,Rural,1
Accidente por MAP,BOLIVAR,TALAIGUA NUEVO,EL PORVENIR,1993,9,Accidente,13780,13,,Rural,1
Accidente por MAP,VAUPES,CARURÚ,CARURÚ,2010,1,Accidente,97161,97,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,TEORAMA,TEORAMA,2010,1,Accidente,54800,54,Camino,Rural,1
Accidente por MAP,NORTE DE SANTANDER,HACARÍ,HACARÍ,2010,2,Accidente,54344,54,Cerros,Rural,1
Accidente por MAP,META,LEJANÍAS,LEJANÍAS,2010,2,Accidente,50400,50,,Rural,1
Accidente por MAP,PUTUMAYO,VALLE DEL GUAMUEZ,LA HORMIGA,2008,8,Accidente,86865,86,,Rural,1
Accidente por MAP,CAQUETA,SOLANO,PUERTO TEJADA,2010,3,Accidente,18756,18,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,SAN CALIXTO,SAN CALIXTO,2010,3,Accidente,54670,54,,Rural,1
Accidente por MAP,ANTIOQUIA,SAN ANDRÉS,SAN ANDRÉS,2010,3,Accidente,5647,5,Camino,Rural,1
