Tipo de evento,Departamento,Municipio,Corregimiento,Año,Mes,Evento,COD_DANE_MUNI,COD_DANE_DEPTO,Tipo de lugar,Tipo de area,Rotulo,Lat,Lon,Address
Accidente por MAP,CAQUETA,MONTAÑITA,LA MONTAÑITA,2010,3,Accidente,18410,18,,Rural,1,1.47888,-75.43724,"La Montanita, La Montañita, Caquetá, Colombia"
Accidente por MAP,ANTIOQUIA,ITUANGO,ITUANGO,2010,3,Accidente,5361,5,Sendero,Rural,1,7.172607,-75.76468,"Ituango, Ituango, Antioquia, Colombia"
Accidente por MAP,VAUPES,CARURÚ,CARURÚ,2010,3,Accidente,97161,97,,Rural,1,1.012148,-71.2958699,"Caruru, Carurú, Vaupes, Colombia"
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,3,Accidente,5790,5,,Rural,1,7.583191,-75.399966,"Tarazá, Tarazá, Antioquia, Colombia"
Accidente por MAP,GUAVIARE,SAN JOSÉ DEL GUAVIARE,SAN JOSÉ DEL GUAVIARE,2010,3,Accidente,95001,95,,Rural,1,2.568549,-72.6417265,"San José del Guaviare, San José Del Guaviare, Guaviare, Colombia"
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,3,Accidente,5790,5,,Rural,1,7.583191,-75.399966,"Tarazá, Tarazá, Antioquia, Colombia"
Accidente por MAP,NORTE DE SANTANDER,EL TARRA,EL TARRA,2008,8,Accidente,54250,54,,Rural,1,8.57451,-73.09339,"El Tarra, El Tarra, Norte de Santander, Colombia"
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2010,3,Accidente,52678,52,,Rural,1,1.332614,-77.586155,"Samaniego, Samaniego, Narino, Colombia"
Accidente por MAP,ANTIOQUIA,ITUANGO,ITUANGO,2010,3,Accidente,5361,5,,Rural,1,7.172607,-75.76468,"Ituango, Ituango, Antioquia, Colombia"
Accidente por MAP,BOLIVAR,EL CARMEN DE BOLÍVAR,EL CARMEN DE BOLÍVAR,2010,1,Accidente,13244,13,,Rural,1,9.721064,-75.115733,"El Carmen de Bolívar, El Cármen de Bolívar, Bolivar, Colombia"
Accidente por MAP,CAUCA,SUÁREZ,SUÁREZ,2010,1,Accidente,19780,19,,Rural,1,2.9543832,-76.6954089,"Suarez, Suárez, Cauca Department, Colombia"
Accidente por MAP,META,MAPIRIPÁN,MAPIRIPÁN,2010,1,Accidente,50325,50,,Rural,1,2.892506,-72.133175,"Mapiripán, Mapiripán, Meta, Colombia"
Accidente por MAP,HUILA,ALGECIRAS,ALGECIRAS,2010,1,Accidente,41020,41,,Rural,1,2.523477,-75.3156939,"Algeciras, Algeciras, Huila, Colombia"
Accidente por MAP,ANTIOQUIA,ITUANGO,ITUANGO,2010,1,Accidente,5361,5,,Rural,1,7.172607,-75.76468,"Ituango, Ituango, Antioquia, Colombia"
Accidente por MAP,HUILA,BARAYA,BARAYA,2010,1,Accidente,41078,41,,Rural,1,3.151685,-75.054209,"Baraya, Baraya, Huila, Colombia"
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2010,1,Accidente,23807,23,,Rural,1,8.171571,-76.062313,"Tierralta, Tierralta, Córdoba, Colombia"
Accidente por MAP,BOLIVAR,TALAIGUA NUEVO,EL PORVENIR,1993,9,Accidente,13780,13,,Rural,1,9.303469,-74.567972,"Talaiga Nuevo, Talaigua Nuevo, Bolivar, Colombia"
